Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;TipoVial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2025;Gasto ejecutado año en curso;Importe 2026;Importe 2027;Importe 2028;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_fotografia;Fecha de los datos;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2019/000544;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE REJAS. OBRAS DE ADECUACIÓN Y MEJORA;2020;2028;;221;BARAJAS;CAMINO DE LA MUÑOZA;CAMINO;DE LA MUÑOZA;;40.451781227823204;-3.535458209657427;09;MEDIO AMBIENTE;20015926,55;15221668,00;7816923,51;16371668,00;12871668,00;3048851,00;;27832850,06;67529781,55;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2019/000545;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE VALDEBEBAS. OBRAS DE ADECUACIÓN Y MEJORA;2020;2027;;221;BARAJAS;CARRETERA ANTIGUA DE PARACUELLOS DE JARAMA, 44;CARRETERA;ANTIGUA DE PARACUELLOS DE JARAMA;44;40.4944431;-3.5501484;09;MEDIO AMBIENTE;26059445,44;21380899,00;6179909,45;18483336,00;9158,00;;;32239354,89;65932838,44;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2019/000615;CAÑADA DEL SANTÍSIMO REHABILITACIÓN ZONAS VERDES;2019;2025;;218;VILLA DE VALLECAS;CALLE DE LA CAÑADA DEL SANTÍSIMO;CALLE;DE LA CAÑADA DEL SANTÍSIMO;;40.361063;-3.601015;09;MEDIO AMBIENTE;35911,41;1165000,00;102930,57;;;;;138841,98;1200911,41;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2019/004321;DEPURADORA DE BUTARQUE CONSOLIDACIÓN DE LOS TERRENOS;2019;2025;;217;VILLAVERDE;AVENIDA DE LOS ROSALES, 399  ;AVENIDA;DE LOS ROSALES;399;40.334267204235616;-3.6637888028978547;09;MEDIO AMBIENTE;2447373,92;626016,00;806885,17;;;;;3254259,09;3073389,92;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2021/000001;CENTRO DE TRATAMIENTO  LAS DEHESAS. SISTEMAS DE DESODORIZACIÓN;2024;2026;;218;VILLA DE VALLECAS;CENTRO DE TRATAMIENTO  LAS DEHESAS;;CENTRO DE TRATAMIENTO  LAS DEHESAS;;40.33552477;-3.58243889;09;MEDIO AMBIENTE;234770,19;5683562,21;144290,66;6268177,81;;;;379060,85;12186510,21;EN PROCESO;Importe 2025 es el Crédito Definitivo a 30/06/2025;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2022/000553;PARQUE PINAR DEL REY. OBRAS DE REMODELACIÓN INTEGRAL;2022;2025;;216;HORTALEZA;CARRETERA DE CANILLAS;CARRETERA;DE CANILLAS;;40.464145;-3.655378;09;MEDIO AMBIENTE;183078,04;1081064,00;1081063,19;;;;;1264141,23;1264142,04;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2022/001463;PARQUE LA VIÑA. OBRAS DE REHABILITACIÓN;2022;2025;;213;PUENTE DE VALLECAS;CALLE DE TIMOTEO PÉREZ RUBIO,9;CALLE;DE TIMOTEO PÉREZ RUBIO;9;40.38582807770370;-3.6743448920748100;09;MEDIO AMBIENTE;185418,61;1316975,00;551684,58;;;;;737103,19;1502393,61;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2022/001467;PARQUE PINAR DE LA ELIPA. OBRAS DE MEJORA (ID 18: 10392);2022;2025;;215;CIUDAD LINEAL;CALLE DE FÉLIX RODRIGUEZ DE LA FUENTE, 26;CALLE;DE FÉLIX RODRIGUEZ DE LA FUENTE;26;40.41915434191835;-3.6563284848379123;09;MEDIO AMBIENTE;182195,58;1296174,00;852988,52;;;;;1035184,10;1478369,58;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/003031;ZONAS VERDES ENSANCHE DE VALLECAS. CAMINOS, ZONAS ESTANCIALES Y OTRAS MEJORAS(ID 21: 17461);2024;2026;;218;VILLA DE VALLECAS;AV DE LAS SUERTES, 310-6;AVENIDA;DE LAS SUERTES;310-6;40.3651087;-3.5968636;09;MEDIO AMBIENTE;24958,25;205000,00;;1295000,00;;;;24958,25;1524958,25;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2023/003032;ZONA FORESTAL MONTECARMELO: M-607 KM.13-GTA.VENTISQUERO DE LA CONDESA.REHABILITACIÓN (ID 21: 17548);2024;2026;;208;FUENCARRAL-EL PARDO;C. PAU ARROYO DEL FRESNO-AV DEL SANTUARIO DE VALVERDE, 83-85;AVENIDA;DEL SANTUARIO DE VALVERDE;83-85;40.5070759;-3.7077138;09;MEDIO AMBIENTE;21980,97;205000,00;;1625000,00;;;;21980,97;1851980,97;EN PROCESO;;;30/06/2025;;
