Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2021;Gasto ejecutado año en curso;Importe 2022;Importe 2023;Importe 2024;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_Fotografia;Fecha de los datos
001;AYUNTAMIENTO;120;PORTAVOZ, SEGURIDAD Y EMERGENCIAS;2021/000399;PARQUE DE BOMBEROS Nº 5. OBRAS DE REFORMA INTEGRAL;2021;2021;;212;USERA;Paseo Santa María De La Cabeza, 95;Paseo de;Santa María de la Cabeza;95;'40.3922859;'-3.7089303;1;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;;1489015,00;1689000,00;;;;;1689000,00;1489015,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000348;PARQUE DEL GASOMETRO, DISTRITO DE ARGANZUELA. REHABILITACIÓN;2021;2022;;202;ARGANZUELA;Calle Ronda De Toledo C/V Calle Gasómetro;Calle;Ronda De Toledo C/V Calle Gasómetro;;'40.4059554;'-3.7102481;9;MEDIO AMBIENTE;;30972,00;30971,99;1500000,00;;;;30971,99;1530972,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000533;CENTRO DEPORTIVO LA CEBADA. CONSTRUCCIÓN;2017;2021;;201;CENTRO;Plaza De La Cebada, 1;Plaza de la;de La Cebada;1;'40.4113817;'-3.7109359;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;4751068,98;8892403,00;8889076,78;;;;;13640145,76;13643471,98;EN PROCESO;;;09/06/2025
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2015/000207;PLAZA DE ESPAÑA. OBRAS DE REMODELACIÓN;2017;2022;;201 (35%) - 209 (65%);MONCLOA-ARAVACA - CENTRO;PLAZA DE ESPAÑA;Plaza;ESPAÑA;;'40.42178207;'-3.71204071;6;URBANISMO;34887748,87;36721179,00;40688700,91;10300000,00;;;;75576449,78;81908927,87;EN PROCESO;;;12/05/2025
001;AYUNTAMIENTO;130;CULTURA, TURISMO Y DEPORTE;2019/000527;MUSEO DE SAN ISIDRO. OBRAS ADECUACIÓN PARA SOSTENIBILIDAD;2021;2023;;201;CENTRO;Plaza San Andrés, 2;Plaza;San Andrés;2;'40.4120708;'-3.7132821;10;CULTURA;;130000,00;69386,68;2000000,00;1500000,00;;;69386,68;3630000,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2016/000537;CENTRO JUVENIL ZOFIO. CONSTRUCCIÓN;2017;2022;;212;USERA;Calle Avena, 5 Y 7;Calle;Avena;5 y 7;'40.37754434245920;'-3.715659804601840;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;2015724,65;2970666,00;4360031,82;1241713,00;;;;6375756,47;6228103,65;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;160;DESARROLLO URBANO;2020/007076;ANILLO VERDE DE VILLAVERDE. EJECUCIÓN BOSQUE METROPOLITANO;2021;2021;;217;VILLAVERDE;ANILLO VERDE DE VILLAVERDE;;ANILLO VERDE DE VILLAVERDE;;'40.36002547;'-3.71601781;6;URBANISMO;;2446340,00;2473346,59;;;;;2473346,59;2446340,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;160;DESARROLLO URBANO;2021/000437;BORDE FORESTAL DE ORCASITAS. EJECUCIÓN DE BOSQUE METROPOLITANO;2021;2021;;212;USERA;BORDE FORESTAL DE ORCASITAS;;BORDE FORESTAL DE ORCASITAS;;'40.36457818;'-3.71745381;6;URBANISMO;;1400000,00;586104,85;;;;;586104,85;1400000,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000276;EDIFICIO C/ FRANCOS RODRIGUEZ, 77.CONSOLIDACION ESTRUCTURAL Y ADAPTACION A NORMATIVA;2020;2021;;209;MONCLOA-ARAVACA;Calle Francos Rodriguez, 77 C/V Callepirineos;Calle;Francos Rodriguez, 77 C/V Callepirineos;;'40.4583621;'-3.7176174;0;INVERSIONES DE CARÁCTER GENERAL;2000000,00;1850000,00;1845935,67;;;;;3845935,67;3850000,00;EN PROCESO;;;17/06/2025
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000292;CUBRICIÓN DE LA M-30 EN EL ÁMBITO DEL VICENTE CALDERÓN;2021;2023;;202;ARGANZUELA;CUBRICIÓN DE LA M-30 EN EL ÁMBITO DEL VICENTE CALDERÓN;;CUBRICIÓN DE LA M-30 EN EL ÁMBITO DEL VICENTE CALDERÓN;;'40.40091796;'-3.72018992;7;INFRAESTRUCTURAS;;9300000,00;4808169,45;30907466,00;20000000,00;;;4808169,45;60207466,00;EN PROCESO;;;14/02/2022
