Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
;;1;202;34201;63599;2024/000345;2024/000345;EQUIPAMIENTO CENTROS DEPORTIVOS DEL DISTRITO DE ARGANZUELA;202;ARGANZUELA;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;;;;;;;15000;0;15000;6011,21;0;8988,79;0;0;0;0
;;1;202;92001;62302;2024/000346;2024/000346;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DEL DISTRITO DE ARGANZUELA;202;ARGANZUELA;0;INVERSIONES DE CARÁCTER GENERAL;2;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;;;;;;;500;0;500;500;0;0;0;0;0;0
;;1;202;92001;62500;2024/000346;2024/000346;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DEL DISTRITO DE ARGANZUELA;202;ARGANZUELA;0;INVERSIONES DE CARÁCTER GENERAL;2;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;;;;;;;1000;0;1000;1000;0;0;0;0;0;0
;;1;202;92001;62599;2024/000346;2024/000346;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS DEL DISTRITO DE ARGANZUELA;202;ARGANZUELA;0;INVERSIONES DE CARÁCTER GENERAL;2;SERVICIOS ADMINISTRATIVOS  TERRITORIALES;;;;;;;1000;0;1000;1000;0;0;0;0;0;0
;;1;202;93302;63200;2023/001446;2023/001446;CENTRO SERVICIOS SOCIALES JOSÉ DE VILLARREAL. EFICIENCIA ENERGÉTICA Y SISTEMA DE REFRIGERACIÓN;202;ARGANZUELA;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;2;CENTROS DE SERVICIOS SOCIALES;;;;;;;332660;0;332660;40,72;0;332619,28;332619,28;0;0;0
5;FONDO DE REEQUILIBRIO TERRITORIAL;1;203;17102;61920;2023/003070;2023/003070;PARQUE DE LOS JARDINES DEL DOCE DE OCTUBRE. OBRAS DE REMODELACIÓN (ID 21: 18074);203;RETIRO;9;MEDIO AMBIENTE;0;PARQUES;;;;;18;PRESUPUESTOS PARTICIPATIVOS;800000;0;800000;800000;0;0;0;0;0;0
;;1;203;23103;62599;2023/001349;2023/001349;CENTRO DE MAYORES BENITO PÉREZ GALDÓS. EQUIPAMIENTO DE LA CAFETERÍA;203;RETIRO;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;;;;;0;20250,56;20250,56;20250,56;0;0;0;0;0;0
;;1;203;23103;62599;2023/001350;2023/001350;CENTRO DE MAYORES PÍO BAROJA. EQUIPAMIENTO DE LA CAFETERÍA;203;RETIRO;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;;;;;0;1311,64;1311,64;1311,64;0;0;0;0;0;0
;;1;203;32301;63200;2024/000197;2024/000197;OBRAS DE ACONDICIONAMIENTO Y MEJORA EN CENTROS DOCENTES DE ENSEÑANZA DEL DISTRITO DE RETIRO;203;RETIRO;5;EDUCACIÓN;0;COLEGIOS;;;;;;;120939;0;120939;120939;0;0;0;0;0;0
;;1;203;33401;60999;2024/000116;2024/000116;PLACAS CONMEMORATIVAS EN EL DISTRITO DE RETIRO. INSTALACIÓN;203;RETIRO;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;10000;0;10000;10000;0;0;0;0;0;0
;;1;203;34201;62300;2024/000106;2024/000106;CENTRO DEPORTIVO MUNICIPAL LA CHOPERA. MAQUINARIA DE LIMPEZA;203;RETIRO;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;;;;;;;3000;0;3000;3000;0;0;0;0;0;0
;;1;203;34201;63200;2024/000198;2024/000198;OBRAS DE ACONDICIONAMIENTO Y MEJORA DE INSTALACIONES DEPORTIVAS DEL DISTRITO RETIRO;203;RETIRO;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;;;;;;;22000;0;22000;22000;0;0;0;0;0;0
;;1;203;34201;63200;2024/000396;2024/000396;CENTRO DEPORTIVO DAOIZ Y VELARDE. ACONDICIONAMIENTO, RENOVACIÓN Y MEJORA DE LAS INSTALACIONES;203;RETIRO;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;;;;;;;250000;0;250000;250000;0;0;0;0;0;0
;;1;203;34201;63200;2024/000398;2024/000398;CENTRO DEPORTIVO MUNICIPAL LA CHOPERA. OBRAS DE ACONDICIONAMIENTO;203;RETIRO;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;;;;;;;90000;0;90000;90000;0;0;0;0;0;0
